fort_id,name,alternate_names,district,taluka,latitude,longitude,base_village,type,elevation_m,current_condition,era,built_by,year_of_construction,key_events,trek_difficulty,trek_time_hours,best_season,water_availability,accommodation,asi_protected,notes,raw_construction,clean_construction,construction_year_bce,construction_year_ce,construction_century_ce,construction_century_bce,construction_text
149,Kauthigad,[NO_ALT_NAME],Raigad,Sudhagad,18.575,73.2,Kauthigwadi,Giri Durg (Hill Fort),600,In Ruins,Maratha Empire,Unknown,Unknown,Small fort near Sudhagad,Easy,1.5,Winter,Unknown,Caves,FALSE,A small trek often visited along with Sudhagad fort.,Unknown,unknown,,,unknown,unknown,unknown
150,Kavnai,[NO_ALT_NAME],Nashik,Igatpuri,19.7431,73.6669,Kavnai,Giri Durg (Hill Fort),914,Partially Ruined,Mughal Empire,Unknown,17th Century,Used as a prison by the Mughals,Easy,1,Winter,Seasonal,Temple; Caves,FALSE,This is a duplicate entry for Kavnai Fort .,17th Century,17th century,,,17th Century,unknown,unknown
151,Kelve Fort,[NO_ALT_NAME],Palghar,Palghar,19.5951,72.7315,Kelve,Bhuikot (Land Fort),5,In Ruins,Portuguese,Portuguese,1550s,A land-based fort near Kelve beach,Easy,0.2,Winter,Unknown,Unknown,FALSE,Not to be confused with the Kelve Pankot (sea fort).,1550s,1550s,,1550,16th Century,unknown,unknown
152,Kelve Mahim,Mahim Fort (Palghar),Palghar,Palghar,19.5714,72.7412,Mahim,Bhuikot (Land Fort),5,In Ruins,Sultanate of Gujarat,Bahadur Shah,14th Century,A coastal fort that was the seat of the local administration,Easy,0.5,Winter,Unknown,Unknown,FALSE,A large but completely ruined fort in the town of Mahim Palghar.,14th Century,14th century,,,14th Century,unknown,unknown
153,Kelve Pankot,[NO_ALT_NAME],Palghar,Palghar,19.6015,72.7214,Kelve,Jal Durg (Sea Fort),2,In Ruins,Portuguese,Portuguese,16th Century,A small sea fort to protect the Kelve creek,Easy,0.2 (low tide),Winter,Unknown,Unknown,FALSE,Accessible by walking during low tide from Kelve beach.,16th Century,16th century,,,16th Century,unknown,unknown
154,Kenjalgad,Gherakhelanja,Satara,Wai,18.0675,73.8053,Ghera Kenjal,Giri Durg (Hill Fort),1310,Partially Ruined,Maratha Empire,Shivaji Maharaj,1674,Captured by Shivaji Maharaj; one of his last conquests,Easy,1,Winter,Year-round,Temple,FALSE,"A flat-topped fort that is easy to climb, with great views of the Krishna river valley.",1674,1674,,1674,17th Century,unknown,unknown
155,Khairai,[NO_ALT_NAME],Pune,Bhor,18.1741,73.8321,Khairai,Giri Durg (Hill Fort),900,In Ruins,Maratha Empire,Unknown,Unknown,A small fort near Rohida,Easy,1.5,Winter,Unknown,Unknown,FALSE,Often visited by trekkers exploring the Bhor region.,Unknown,unknown,,,unknown,unknown,unknown
156,Khanderi,[NO_ALT_NAME],Raigad,Alibag,18.7,72.8125,Thal,Jal Durg (Sea Fort),10,Well-Preserved,Maratha Empire,Shivaji Maharaj,1679,Built to check the Siddis at Janjira; has a lighthouse,Easy,0.5,Winter,Seasonal,Lighthouse quarters,FALSE,Island fort accessible by boat; paired with the Underi fort.,1679,1679,,1679,17th Century,unknown,unknown
157,Kharda Fort,Shivpatta,Ahilyanagar,Jamkhed,18.6256,75.4678,Kharda,Bhuikot (Land Fort),750,Partially Ruined,Nizam Shahi,Unknown,15th Century,"Site of the Battle of Kharda, 1795, between Marathas and the Nizam",Easy,0.5,Winter,Unknown,Unknown,FALSE,A land fort known for its historical battle.,15th Century,15th century,,,15th Century,unknown,unknown
158,Kharepatan,[NO_ALT_NAME],Sindhudurg,Kankavli,16.5611,73.5542,Kharepatan,Bhuikot (Land Fort),20,In Ruins,Shilahara Dynasty,Unknown,12th Century,Ancient port town fort on the banks of Vaghotan river,Easy,0.5,Winter,Unknown,Unknown,FALSE,Only remnants of the walls can be seen today.,12th Century,12th century,,,12th Century,unknown,unknown
159,Khubladha Fort,[NO_ALT_NAME],Nashik,Manmad,20.2415,74.4312,Khubladha,Giri Durg (Hill Fort),800,In Ruins,Unknown,Unknown,Unknown,A small hillock with some fortifications near Manmad,Easy,1,Winter,Unknown,Unknown,FALSE,Lesser-known and with minimal remains.,Unknown,unknown,,,unknown,unknown,unknown
160,Kohoj Fort,[NO_ALT_NAME],Palghar,Wada,19.7892,73.0853,Vaghote,Giri Durg (Hill Fort),610,Partially Ruined,Bhoj Raja of Shilahar,Bhoj Raja,13th Century,Known for its unique man-shaped pinnacle,Medium,3,Winter,Seasonal,Temple; Caves,FALSE,Offers a panoramic view of the Palghar region's lakes.,13th Century,13th century,,,13th Century,unknown,unknown
161,Kolaba Fort,Alibag Fort,Raigad,Alibag,18.6417,72.8611,Alibag,Jal Durg (Sea Fort),10,Well-Preserved,Maratha Empire,Shivaji Maharaj,1680,Major naval station for the Maratha Navy under Sarkhel Kanhoji Angre,Easy,0.5,Winter,Sweet water well,Unknown,TRUE,Accessible by foot during low tide and by boat during high tide from Alibag beach.,1680,1680,,1680,17th Century,unknown,unknown
162,Koldher Fort,[NO_ALT_NAME],Nashik,Satana,20.55,74.15,Koldher,Giri Durg (Hill Fort),1158,In Ruins,Maratha Empire,Unknown,Unknown,Small watchtower fort,Medium,2,Winter,Unknown,Unknown,FALSE,A lesser-known fort in the Satmala range.,Unknown,unknown,,,unknown,unknown,unknown
163,Koldurg,[NO_ALT_NAME],Pune,Mulshi,18.5833,73.3512,Ekole,Giri Durg (Hill Fort),900,In Ruins,Maratha Empire,Unknown,Unknown,A small fort near Ghangad,Easy,1.5,Winter,Unknown,Unknown,FALSE,Often visited along with Ghangad fort.,Unknown,unknown,,,unknown,unknown,unknown
164,Kolkewadi Fort,[NO_ALT_NAME],Ratnagiri,Chiplun,17.4912,73.6841,Kolkewadi,Giri Durg (Hill Fort),300,In Ruins,Maratha Empire,Unknown,Unknown,Fort overlooking the Kolkewadi Dam,Easy,1,Winter,Unknown,Unknown,FALSE,The fort area is mostly within the dam premises.,Unknown,unknown,,,unknown,unknown,unknown
165,Kondhavi,[NO_ALT_NAME],Raigad,Roha,18.4112,73.1231,Kondhavi,Giri Durg (Hill Fort),200,In Ruins,Maratha Empire,Unknown,Unknown,A small fort on the banks of the Kundalika river,Easy,1,Winter,Unknown,Unknown,FALSE,Minimal ruins remain.,Unknown,unknown,,,unknown,unknown,unknown
166,Korigad,Koraigad,Pune,Maval,18.6167,73.3833,Peth Shahapur,Giri Durg (Hill Fort),923,Well-Preserved,Maratha Empire,Shivaji Maharaj,1657,Captured and incorporated into Swarajya; has two large ponds on top,Easy,1,Monsoon; Winter,Year-round,Koraidevi Temple,FALSE,A popular trek near Lonavala and Aamby Valley; fort walls are completely intact.,1657,1657,,1657,17th Century,unknown,unknown
167,Korlai Fort,Morro de Chaul,Raigad,Murud,18.5333,72.9,Korlai,Jal Durg (Sea Fort),90,Partially Ruined,Portuguese,Portuguese,1521,Guarded the Revdanda creek; captured by Marathas,Easy,1,Winter,Unknown,Lighthouse,TRUE,A massive Portuguese fort with 11 gates and a lighthouse; known for its unique Creole language-speaking villagers.,1521,1521,,1521,16th Century,unknown,unknown
168,Kotakmate Fort,[NO_ALT_NAME],Sindhudurg,Devgad,16.3915,73.4112,Kotakmate,Giri Durg (Hill Fort),100,In Ruins,Maratha Empire,Unknown,Unknown,Small coastal watchtower near Devgad,Easy,0.5,Winter,Unknown,Unknown,FALSE,Offers views of the Arabian sea and Devgad port.,Unknown,unknown,,,unknown,unknown,unknown
169,Kulang Fort,[NO_ALT_NAME],Nashik,Igatpuri,19.5894,73.6492,Kulangwadi,Giri Durg (Hill Fort),1470,In Ruins,Maratha Empire,Unknown,17th-18th Century,Part of the intense Alang-Madan-Kulang trek,Hard,4,Winter,Year-round in cisterns,Caves,FALSE,The largest of the AMK trio; requires a long and strenuous trek.,17th-18th Century,17th-18th century,,,18th Century,unknown,unknown
170,Kunjargad,Kombadgad,Ahilyanagar,Akole,19.4678,73.8825,Kunjargadwadi,Giri Durg (Hill Fort),1185,In Ruins,Maratha Empire,Unknown,17th Century,Watchtower fort in the Kalsubai range,Easy,1.5,Winter,Unknown,Unknown,FALSE,"A small fort offering splendid views of Harishchandragad, Ratangad and Kalsubai.",17th Century,17th century,,,17th Century,unknown,unknown
171,Kurdugad,Vishramgad,Raigad,Sudhagad,18.455,73.4,Jite,Giri Durg (Hill Fort),853,Partially Ruined,Maratha Empire,Shivaji Maharaj,17th Century,Used as a prison; renamed Vishramgad after the goddess Kurdai,Medium,2.5,Winter,Year-round in cisterns,Caves,FALSE,"Features a large cave, granaries and a bastion in good condition.",17th Century,17th century,,,17th Century,unknown,unknown
172,Laling Fort,[NO_ALT_NAME],Dhule,Dhule,20.7917,74.7167,Laling,Giri Durg (Hill Fort),533,In Ruins,Tughlaq dynasty,Faruqi Kings (rebuilt),14th Century,Controlled the strategic route from north India to Deccan,Easy,1,Winter,Unknown,Unknown,FALSE,The fort lies on the Mumbai-Agra highway and is easily accessible.,14th Century,14th century,,,14th Century,unknown,unknown
173,Lingana,[NO_ALT_NAME],Raigad,Mahad,18.2989,73.6194,Mohari,Giri Durg (Hill Fort),884,Pinnacle,Maratha Empire,Shivaji Maharaj,1648,Used as a penal colony by the Marathas,Hard,4,Winter,Unknown,Caves at base,FALSE,A massive pinnacle near Raigad and Torna; requires technical rock climbing.,1648,1648,,1648,17th Century,unknown,unknown
174,Lohagad,[NO_ALT_NAME],Pune,Maval,18.7056,73.4795,Lohagadwadi,Giri Durg (Hill Fort),1033,Well-Preserved,Satavahana Dynasty,Satavahanas,30 BCE,Used to store treasury from Surat loot by Shivaji Maharaj,Easy,1.5,Monsoon; Winter,Seasonal,Caves and local homes,TRUE,Known for its 'Vinchukata' (scorpion's tail) fortified spur and intact gates.,30 BCE,30 bce,30,,unknown,1st Century BCE,unknown
175,Machnur Fort,[NO_ALT_NAME],Solapur,Mangalvedha,17.4215,75.4513,Machnur,Bhuikot (Land Fort),480,In Ruins,Unknown,Unknown,Unknown,Small village fortification on the banks of the Bhima river,Easy,0.2,Winter,Unknown,Unknown,FALSE,A small gadi now mostly in ruins.,Unknown,unknown,,,unknown,unknown,unknown
176,Madangad,[NO_ALT_NAME],Nashik,Igatpuri,19.5892,73.6558,Kulangwadi,Giri Durg (Hill Fort),1474,In Ruins,Maratha Empire,Unknown,17th-18th Century,Part of the intense Alang-Madan-Kulang trek,Hard,5,Winter,Seasonal in cisterns,Caves,FALSE,The middle fort of the AMK trio; has a challenging rock patch for climbing.,17th-18th Century,17th-18th century,,,18th Century,unknown,unknown
177,Madh Fort,Versova Fort,Mumbai Suburban,Andheri,19.1301,72.7845,Madh,Jal Durg (Sea Fort),10,Well-Preserved,Portuguese,Portuguese,17th Century,A watchtower fort guarding the Marve Creek,Easy,0.2,All Seasons,Unknown,Unknown,FALSE,"Located on Madh Island, under the control of the Indian Air Force, access may be restricted.",17th Century,17th century,,,17th Century,unknown,unknown
178,Mahadevgad,[NO_ALT_NAME],Thane,Shahapur,19.4512,73.3514,Mahadevgad,Giri Durg (Hill Fort),700,In Ruins,Maratha Empire,Unknown,Unknown,A hillock near Mahuli with some signs of fortification,Medium,2,Winter,Unknown,Unknown,FALSE,Often considered a part of the greater Mahuli fort range.,Unknown,unknown,,,unknown,unknown,unknown
179,Mahim Fort,[NO_ALT_NAME],Mumbai City,Mahim,19.0333,72.8333,Mahim,Jal Durg (Sea Fort),10,In Ruins,Yadava Dynasty,Raja Bhimdev,13th Century,"Strategic fort in Mahim Bay; captured by Portuguese, then Marathas",Easy,0.2,All Seasons,Unknown,Unknown,FALSE,Heavily encroached upon; offers a view of the Bandra-Worli Sea Link.,13th Century,13th century,,,13th Century,unknown,unknown
180,Mahimangad,[NO_ALT_NAME],Satara,Maan,17.7,74.55,Mahimangad,Giri Durg (Hill Fort),975,Partially Ruined,Maratha Empire,Shivaji Maharaj,1673,Guarded the eastern frontier of Swarajya,Easy,1,Winter,Seasonal,Temple,FALSE,A straightforward trek with a Hanuman temple at the top.,1673,1673,,1673,17th Century,unknown,unknown
181,Mahimatgad,Mahipatgad,Ratnagiri,Khed,17.7667,73.6,Wadi Beldar,Giri Durg (Hill Fort),1190,In Ruins,Adil Shahi; Maratha Empire,Adil Shah,15th Century,One of the largest forts in Ratnagiri; captured by Shivaji Maharaj in 1661,Medium,3.5,Winter,Year-round in cisterns,Caves; Temple,FALSE,This is an alternate name for Mahipatgad .,15th Century,15th century,,,15th Century,unknown,unknown
182,Mahipalgad,Mahipatgad,Ratnagiri,Khed,17.7667,73.6,Wadi Beldar,Giri Durg (Hill Fort),1190,In Ruins,Adil Shahi; Maratha Empire,Adil Shah,15th Century,One of the largest forts in Ratnagiri; captured by Shivaji Maharaj in 1661,Medium,3.5,Winter,Year-round in cisterns,Caves; Temple,FALSE,This is an alternate name for Mahipatgad .,15th Century,15th century,,,15th Century,unknown,unknown
183,Mahipatgad,[NO_ALT_NAME],Ratnagiri,Khed,17.7667,73.6,Wadi Beldar,Giri Durg (Hill Fort),1190,In Ruins,Adil Shahi; Maratha Empire,Adil Shah,15th Century,One of the largest forts in Ratnagiri; captured by Shivaji Maharaj in 1661,Medium,3.5,Winter,Year-round in cisterns,Caves; Temple,FALSE,A vast plateau fort with dense forest cover.,15th Century,15th century,,,15th Century,unknown,unknown
184,Mahuli Fort,[NO_ALT_NAME],Thane,Shahapur,19.4831,73.2425,Mahuli,Giri Durg (Hill Fort),853,Partially Ruined,Mughal Empire; Maratha Empire,Nizamshahi,15th Century,"Site of a fierce battle in 1670; has many pinnacles like Navra, Navri",Medium,3,Winter,Seasonal,Caves,FALSE,Highest point in Thane district; a popular trekking destination.,15th Century,15th century,,,15th Century,unknown,unknown
185,Makarandgad,Madhumakarandgad,Satara,Mahabaleshwar,17.8422,73.6567,Ghatmatha,Giri Durg (Hill Fort),1236,In Ruins,Maratha Empire,Shivaji Maharaj,1656,Served as a watchtower for Pratapgad and Mahabaleshwar,Medium,2,Winter,Seasonal,Unknown,FALSE,Also known as the Saddleback fort due to its shape.,1656,1656,,1656,17th Century,unknown,unknown
186,Malanggad,Haji Malang,Thane,Kalyan,19.0983,73.2206,Wadi,Giri Durg (Hill Fort),789,Partially Ruined,Maurya Dynasty,King Naladev,7th Century,Famous for the shrine (dargah) of Haji Abd-ul-Rahman,Medium,2.5,Winter,Available,Dargah lodgings,FALSE,A unique fort with three levels and a popular pilgrimage center.,7th Century,7th century,,,7th Century,unknown,unknown
187,Malegaon Fort,[NO_ALT_NAME],Nashik,Malegaon,20.5511,74.5242,Malegaon,Bhuikot (Land Fort),430,Partially Ruined,Mughal Empire,Jahangir,1740 (rebuilt),A large land fort on the banks of the Mausam river,Easy,0.5,Winter,Unknown,Unknown,FALSE,The fort walls now enclose several schools and government offices.,1740 (rebuilt),1740 (rebuilt),,1740,18th Century,unknown,rebuilt
188,Malhargad,Sonori Fort,Pune,Purandar,18.4111,74.0622,Sonori,Giri Durg (Hill Fort),925,Partially Ruined,Maratha Empire,Peshwas (Bhivrao Panse),1760,Last fort built by the Marathas; named after Lord Malhar,Easy,1,Monsoon; Winter,Seasonal,Temple,FALSE,A small fort with two temples in good condition.,1760,1760,,1760,18th Century,unknown,unknown
189,Manaranjan Fort,[NO_ALT_NAME],Raigad,Karjat,18.8894,73.3939,Udhewadi,Giri Durg (Hill Fort),820,Partially Ruined,Yadava Dynasty,Yadavas of Devgiri,13th Century,"Part of the Rajmachi twin-fort complex, faces west",Easy,2.5,Monsoon; Winter,Available at Rajmachi,Udhewadi village homes,FALSE,"One of the two citadels of Rajmachi, simpler to climb than Shrivardhan.",13th Century,13th century,,,13th Century,unknown,unknown
190,Mandangad Fort,[NO_ALT_NAME],Ratnagiri,Mandangad,17.9833,73.2333,Mandangad,Giri Durg (Hill Fort),630,In Ruins,Shilahara Dynasty; Maratha Empire,King Bhoja,12th Century,Has a large cannon named 'Top of the Mandan',Easy,0.5,Winter,Seasonal,Unknown,FALSE,Easily accessible from Mandangad town.,12th Century,12th century,,,12th Century,unknown,unknown
191,Mangad Fort,[NO_ALT_NAME],Raigad,Mangaon,18.3333,73.2667,Borwadi,Giri Durg (Hill Fort),235,Partially Ruined,Maratha Empire,Shivaji Maharaj,17th Century,Guarded the route from Nizampur to Mahad,Easy,1,Monsoon; Winter,Seasonal,Caves; Temple,FALSE,Features a unique cave called 'Chor-darwaza' or secret door.,17th Century,17th century,,,17th Century,unknown,unknown
192,Mangalgad,Kangori,Raigad,Mahad,18.2167,73.55,Dudhulwadi,Giri Durg (Hill Fort),732,Partially Ruined,Maratha Empire,Chandrarao More,16th Century,Captured by Shivaji Maharaj in 1648,Medium,2,Winter,Seasonal,Temple; Cisterns,FALSE,A remote fort with a beautiful temple at the top.,16th Century,16th century,,,16th Century,unknown,unknown
193,Mangalvedha Fort,[NO_ALT_NAME],Solapur,Mangalvedha,17.5021,75.4312,Mangalvedha,Bhuikot (Land Fort),490,In Ruins,Chalukya Dynasty,Unknown,12th Century,An ancient fort associated with Saint Damaji,Easy,0.5,Winter,Unknown,Unknown,FALSE,Only a bastion and a few walls remain of the original fort.,12th Century,12th century,,,12th Century,unknown,unknown
194,Mangi-Tungi,[NO_ALT_NAME],Nashik,Satana,20.95,74.05,Mangi,Giri Durg (Hill Fort),1331,Well-Preserved,Yadava Dynasty,Unknown,12th Century,Major Jain pilgrimage center,Easy,2,Winter,Available,Dharamshala at base,FALSE,Known for its twin peaks and the world's tallest Jain statue of Lord Rishabhanatha.,12th Century,12th century,,,12th Century,unknown,unknown
195,Manikgad,[NO_ALT_NAME],Raigad,Khalapur,18.85,73.1833,Vashivali,Giri Durg (Hill Fort),564,In Ruins,Maratha Empire,Kanhoji Angre,1718,Built to overlook the trade route through Bor Ghat,Medium,3,Winter,Seasonal,Caves,FALSE,A conical fort with a large depression at the center.,1718,1718,,1718,18th Century,unknown,unknown
196,Manikgad (Jiwati),[NO_ALT_NAME],Chandrapur,Rajura,19.7833,79.3667,Manikgad,Giri Durg (Hill Fort),507,In Ruins,Gond Kingdom,Gond Kings,12th Century,A large fort with extensive ramparts and gates,Easy,1,Winter,Unknown,Unknown,TRUE,Located in a dense forest.,12th Century,12th century,,,12th Century,unknown,unknown
197,Manikpunj,[NO_ALT_NAME],Ahilyanagar,Parner,19.1215,74.4513,Manikpunj,Giri Durg (Hill Fort),900,In Ruins,Maratha Empire,Unknown,Unknown,A small hillock fort,Easy,1,Winter,Unknown,Unknown,FALSE,Lesser known fort with minimal remains.,Unknown,unknown,,,unknown,unknown,unknown
198,Manjarsumbha,[NO_ALT_NAME],Beed,Beed,18.8812,75.8415,Manjarsumbha,Giri Durg (Hill Fort),800,In Ruins,Nizam Shahi,Unknown,Unknown,A hill fort with a dargah at the top,Easy,1,Winter,Seasonal,Dargah,FALSE,Offers a panoramic view of the Balaghat range.,Unknown,unknown,,,unknown,unknown,unknown
199,Manohargad,[NO_ALT_NAME],Sindhudurg,Sawantwadi,15.9,74.1667,Manohargad,Giri Durg (Hill Fort),700,Partially Ruined,Maratha Empire,Shivaji Maharaj,1660,Guarded the Ranganagad-Sawantwadi route,Medium,2.5,Post-Monsoon,Year-round,Temple,FALSE,A twin fort to Mansantoshgad.,1660,1660,,1660,17th Century,unknown,unknown
200,Mansantoshgad,[NO_ALT_NAME],Sindhudurg,Sawantwadi,15.9167,74.15,Manohargad,Giri Durg (Hill Fort),670,In Ruins,Maratha Empire,Shivaji Maharaj,1660,Twin fort to Manohargad,Medium,2.5,Post-Monsoon,Seasonal,Unknown,FALSE,Visited along with Manohargad fort.,1660,1660,,1660,17th Century,unknown,unknown
201,Markandeya Fort,Markinda,Nashik,Satana,20.4833,74.0833,Mulane,Giri Durg (Hill Fort),1316,Partially Ruined,Maratha Empire,Unknown,17th Century,"Known for the Markandeya Rishi temple, offers views of Saptashrungi",Medium,2,Winter,Seasonal,Temple,FALSE,A pilgrimage spot and a fort with a vast plateau.,17th Century,17th century,,,17th Century,unknown,unknown
202,Mazagon Fort,[NO_ALT_NAME],Mumbai City,Mazagon,18.9667,72.85,Mazagon,Jal Durg (Sea Fort),10,Completely Ruined,Portuguese; British,Portuguese,1680,One of the forts protecting Mumbai harbour; blown up by Siddi,Easy,0.1,All Seasons,Unknown,Unknown,FALSE,No trace of the fort remains; the area is now Joseph Baptista Gardens.,1680,1680,,1680,17th Century,unknown,unknown
203,Mirgad (Songir),[NO_ALT_NAME],Nashik,Baglan,20.8412,74.1915,Songir,Giri Durg (Hill Fort),600,In Ruins,Unknown,Unknown,Unknown,A very small fort near Songir,Easy,1,Winter,Unknown,Unknown,FALSE,This is a very minor fortification.,Unknown,unknown,,,unknown,unknown,unknown
204,Mohandar Fort,Mohodari Shidaka,Nashik,Dindori,20.3333,73.75,Mohodari,Giri Durg (Hill Fort),1100,In Ruins,Maratha Empire,Unknown,Unknown,Watchtower fort in the Dindori range,Easy,1.5,Winter,Unknown,Unknown,FALSE,A simple trek with good views of the surrounding area.,Unknown,unknown,,,unknown,unknown,unknown
205,Mohangad,Jaslodgad,Pune,Shirur,18.3,73.8167,Mohari,Giri Durg (Hill Fort),1100,In Ruins,Maratha Empire,Bandal Deshmukh,17th Century,A subsidiary fort to Rohida,Medium,2,Winter,Seasonal,Unknown,FALSE,A small fort with remnants of a gate and cisterns.,17th Century,17th century,,,17th Century,unknown,unknown
206,Mora Fort,[NO_ALT_NAME],Nashik,Baglan,20.7,74.2,Virkhel,Giri Durg (Hill Fort),1000,In Ruins,Maratha Empire,Unknown,Unknown,A small hill fort in the Satmala range,Easy,1,Winter,Unknown,Unknown,FALSE,Lesser known fort often combined with a visit to Mulher.,Unknown,unknown,,,unknown,unknown,unknown
207,Mordhan,Moradangad,Nashik,Dindori,20.1511,73.5514,Mordhan,Giri Durg (Hill Fort),1070,In Ruins,Maratha Empire,Unknown,Unknown,A hill fort with a few cisterns and ruins,Medium,2,Winter,Unknown,Unknown,FALSE,Known for its scenic trek.,Unknown,unknown,,,unknown,unknown,unknown
208,Morgiri Fort,[NO_ALT_NAME],Pune,Maval,18.7333,73.4333,Lohagadwadi,Giri Durg (Hill Fort),930,In Ruins,Maratha Empire,Unknown,Unknown,A small watchtower fort near Lohagad,Easy,1,Monsoon; Winter,Unknown,Caves,FALSE,A very small fort often visited by trekkers going to Lohagad.,Unknown,unknown,,,unknown,unknown,unknown
209,Mrugagad,[NO_ALT_NAME],Raigad,Sudhagad,18.7833,73.35,Bheliv,Giri Durg (Hill Fort),533,Partially Ruined,Maratha Empire,Unknown,Unknown,Known for its thrilling rock-cut steps and narrow climb,Medium,2,Monsoon; Winter,Seasonal,Unknown,FALSE,"A small, scenic fort ideal for a one-day trek.",Unknown,unknown,,,unknown,unknown,unknown
210,Mudgad,[NO_ALT_NAME],Gadchiroli,Dhanora,20.2167,80.1167,Mudgad,Giri Durg (Hill Fort),450,In Ruins,Gond Kingdom,Gond Kings,Unknown,Ancient Gond fort in a dense forest,Medium,3,Winter,Unknown,Unknown,FALSE,Located in a remote and densely forested area.,Unknown,unknown,,,unknown,unknown,unknown
211,Mukutgad,[NO_ALT_NAME],Gadchiroli,Chamorshi,19.6667,79.9167,Mukutgad,Giri Durg (Hill Fort),300,In Ruins,Gond Kingdom,Gond Kings,Unknown,Fortress on the Wainganga river,Easy,1,Winter,Unknown,Unknown,FALSE,Another ancient Gond fort now mostly in ruins.,Unknown,unknown,,,unknown,unknown,unknown
212,Mulher Fort,[NO_ALT_NAME],Nashik,Baglan,20.7667,74.05,Mulher,Giri Durg (Hill Fort),1310,Partially Ruined,Rathod Dynasty,Bagul Kings,14th Century,Capital of the Bagul kingdom; site of a major Mughal-Maratha battle,Medium,3,Winter,Year-round,Temples; Caves,FALSE,A massive fort complex along with Mora and Hatgad forts.,14th Century,14th century,,,14th Century,unknown,unknown
213,Murud-Janjira,Janjira,Raigad,Murud,18.3,72.9639,Rajpuri,Jal Durg (Sea Fort),12,Well-Preserved,Siddi Dynasty,Malik Ambar (Initial),17th Century,Remained unconquered by Marathas; Portuguese; and British,Easy,0.5,Winter,None on fort,Hotels in Murud,TRUE,Accessible by sailboat from Rajpuri jetty; has 3 massive cannons.,17th Century,17th century,,,17th Century,unknown,unknown
214,Nagardhan,Nagardhan Fort,Nagpur,Ramtek,21.3615,79.3242,Nagardhan,Bhuikot (Land Fort),300,Partially Ruined,Gond Kingdom; Bhonsles,Raghoji Bhonsle I (rebuilt),18th Century,An ancient capital of the Vakataka dynasty,Easy,0.5,Winter,Unknown,Unknown,TRUE,A square-shaped land fort with bastions and a well-preserved wall.,18th Century,18th century,,,18th Century,unknown,unknown
215,Nagla Bunder Fort,[NO_ALT_NAME],Thane,Thane,19.2612,72.9615,Nagla Bunder,Jal Durg (Sea Fort),5,In Ruins,Portuguese,Portuguese,Unknown,A small watchtower on the Thane creek,Easy,0.2,Winter,Unknown,Unknown,FALSE,Located deep inside the mangrove forests of the Sanjay Gandhi National Park.,Unknown,unknown,,,unknown,unknown,unknown
216,Naldurg Fort,[NO_ALT_NAME],Dharashiv,Naldurg,17.8167,76.2833,Naldurg,Bhuikot (Land Fort),560,Well-Preserved,Chalukya Dynasty; Bahmani Sultanate,Ali Adil Shah I (rebuilt),16th Century,Famous for its unique Pani Mahal (Water Palace) built across the Bori river,Easy,1.5,Post-Monsoon,Not applicable,Unknown,TRUE,An excellent example of Indo-Islamic architecture.,16th Century,16th century,,,16th Century,unknown,unknown
217,Nanded Fort,[NO_ALT_NAME],Nanded,Nanded,19.15,77.3167,Nanded,Bhuikot (Land Fort),362,In Ruins,Rashtrakuta Dynasty,Unknown,10th Century,Located on the banks of Godavari river,Easy,0.5,Winter,Unknown,Unknown,FALSE,The fort area is now heavily encroached by the city.,10th Century,10th century,,,10th Century,unknown,unknown
218,Naneghat,[NO_ALT_NAME],Pune,Junnar,19.2833,73.6833,Ghatghar,Giri Durg (Hill Fort),830,Caves,Satavahana Dynasty,Satavahanas,1st Century BCE,Ancient trade route pass with caves and inscriptions,Easy,2.5,Winter,Seasonal,Caves,FALSE,Famous for its inscriptions and the reverse waterfall during monsoon.,1st Century BCE,1st century bce,,,unknown,1st Century BCE,unknown
219,Narayangad,[NO_ALT_NAME],Pune,Junnar,19.1167,74.05,Narayangaon,Giri Durg (Hill Fort),775,In Ruins,Yadava Dynasty,Yadavas of Devgiri,13th Century,Strengthened during the Peshwa period,Easy,1,Winter,Seasonal,Temple,FALSE,A small fort known for its temple of Hastabai.,13th Century,13th century,,,13th Century,unknown,unknown
220,Narayangad (Amboli),[NO_ALT_NAME],Sindhudurg,Sawantwadi,15.9613,74.0012,Amboli,Giri Durg (Hill Fort),750,In Ruins,Sawantwadi State,Unknown,Unknown,A small fort near Amboli Ghat,Easy,0.5,Post-Monsoon,Unknown,Unknown,FALSE,"A view point in Amboli, with very few remains of the fort.",Unknown,unknown,,,unknown,unknown,unknown
221,Narnala Fort,Shahanur Fort,Akola,Akot,21.2333,77.0333,Shahanur,Giri Durg (Hill Fort),973,Partially Ruined,Gond Kingdom; Bahmani Sultanate,Gond Kings,10th Century,"Part of Melghat Tiger Reserve; consists of three forts: Zafarabad, Narnala, and Teliagarh",Medium,2,Winter,Year-round,Unknown,TRUE,A vast hill fort with impressive gates and a beautiful mosque.,10th Century,10th century,,,10th Century,unknown,unknown
222,Narsinhagad,[NO_ALT_NAME],Sangli,Khanapur,17.25,74.6333,Khanapur,Giri Durg (Hill Fort),900,In Ruins,Maratha Empire,Unknown,Unknown,Small fort dedicated to Lord Narasimha,Easy,1,Winter,Seasonal,Temple,FALSE,A pilgrimage spot with ruins of fortifications.,Unknown,unknown,,,unknown,unknown,unknown
